# Derived from CSV data at  http://golang.org/x/arch/x86
| Instruction                             | OpCode                            | Valid32BitOp | Valid64BitOp | CPUID                  | Info                              | ReadWriteActions | OperandSizeDistinguished | OpBitSize |
| VCVTPD2PS xmm1, ymm2/m256               | VEX.256.66.0F.WIG 5A /r           | V            | V            | AVX                    |                                   | w,r              | Y                        | 256       |
| VCVTPH2PS xmm1, xmm2/m64                | VEX.128.66.0F38.W0 13 /r          | V            | V            | F16C                   |                                   | w,r              |                          |           |
| VCVTPH2PS ymm1, xmm2/m128               | VEX.256.66.0F38.W0 13 /r          | V            | V            | F16C                   |                                   | w,r              |                          |           |
| VCVTPS2DQ xmm1, xmm2/m128               | VEX.128.66.0F.WIG 5B /r           | V            | V            | AVX                    |                                   | w,r              |                          |           |
| VCVTPS2DQ ymm1, ymm2/m256               | VEX.256.66.0F.WIG 5B /r           | V            | V            | AVX                    |                                   | w,r              |                          |           |
| VCVTPS2PD xmm1, xmm2/m64                | VEX.128.0F.WIG 5A /r              | V            | V            | AVX                    |                                   | w,r              |                          |           |
| VCVTPS2PD ymm1, xmm2/m128               | VEX.256.0F.WIG 5A /r              | V            | V            | AVX                    |                                   | w,r              |                          |           |
| VCVTPS2PH xmm2/m128, ymm1, imm8         | VEX.256.66.0F3A.W0 1D /r ib       | V            | V            | F16C                   |                                   | w,r,r            |                          |           |
| VCVTPS2PH xmm2/m64, xmm1, imm8          | VEX.128.66.0F3A.W0 1D /r ib       | V            | V            | F16C                   |                                   | w,r,r            |                          |           |
| VCVTSD2SI r32, xmm2/m64                 | VEX.LIG.F2.0F.W0 2D /r            | V            | V            | AVX                    |                                   | w,r              | Y                        | 32        |
| VCVTSD2SI r64, xmm2/m64                 | VEX.LIG.F2.0F.W1 2D /r            | N.E.         | V            | AVX                    |                                   | w,r              | Y                        | 64        |
| VCVTSD2SS xmm1, xmmV, xmm2/m64          | VEX.NDS.LIG.F2.0F.WIG 5A /r       | V            | V            | AVX                    |                                   | w,r,r            |                          |           |
| VCVTSI2SD xmm1, xmmV, r/m32             | VEX.NDS.LIG.F2.0F.W0 2A /r        | V            | V            | AVX                    |                                   | w,r,r            | Y                        | 32        |
| VCVTSI2SD xmm1, xmmV, r/m64             | VEX.NDS.LIG.F2.0F.W1 2A /r        | N.E.         | V            | AVX                    |                                   | w,r,r            | Y                        | 64        |
| VCVTSI2SS xmm1, xmmV, r/m32             | VEX.NDS.LIG.F3.0F.W0 2A /r        | V            | V            | AVX                    |                                   | w,r,r            | Y                        | 32        |
| VCVTSI2SS xmm1, xmmV, r/m64             | VEX.NDS.LIG.F3.0F.W1 2A /r        | N.E.         | V            | AVX                    |                                   | w,r,r            | Y                        | 64        |
| VCVTSS2SD xmm1, xmmV, xmm2/m32          | VEX.NDS.LIG.F3.0F.WIG 5A /r       | V            | V            | AVX                    |                                   | w,r,r            |                          |           |
| VCVTSS2SI r32, xmm2/m32                 | VEX.LIG.F3.0F.W0 2D /r            | V            | V            | AVX                    |                                   | w,r              | Y                        | 32        |
| VCVTSS2SI r64, xmm2/m32                 | VEX.LIG.F3.0F.W1 2D /r            | N.E.         | V            | AVX                    |                                   | w,r              | Y                        | 64        |
| VCVTTPD2DQ xmm1, xmm2/m128              | VEX.128.66.0F.WIG E6 /r           | V            | V            | AVX                    |                                   | w,r              | Y                        | 128       |
| VCVTTPD2DQ xmm1, ymm2/m256              | VEX.256.66.0F.WIG E6 /r           | V            | V            | AVX                    |                                   | w,r              | Y                        | 256       |
| VCVTTPS2DQ xmm1, xmm2/m128              | VEX.128.F3.0F.WIG 5B /r           | V            | V            | AVX                    |                                   | w,r              |                          |           |
| VCVTTPS2DQ ymm1, ymm2/m256              | VEX.256.F3.0F.WIG 5B /r           | V            | V            | AVX                    |                                   | w,r              |                          |           |
| VCVTTSD2SI r32, xmm2/m64                | VEX.LIG.F2.0F.W0 2C /r            | V            | V            | AVX                    |                                   | w,r              | Y                        | 32        |
| VCVTTSD2SI r64, xmm2/m64                | VEX.LIG.F2.0F.W1 2C /r            | N.E.         | V            | AVX                    |                                   | w,r              | Y                        | 64        |
| VCVTTSS2SI r32, xmm2/m32                | VEX.LIG.F3.0F.W0 2C /r            | V            | V            | AVX                    |                                   | w,r              | Y                        | 32        |
| VCVTTSS2SI r64, xmm2/m32                | VEX.LIG.F3.0F.W1 2C /r            | N.E.         | V            | AVX                    |                                   | w,r              | Y                        | 64        |
| VDIVPD xmm1, xmmV, xmm2/m128            | VEX.NDS.128.66.0F.WIG 5E /r       | V            | V            | AVX                    |                                   | w,r,r            |                          |           |
| VDIVPD ymm1, ymmV, ymm2/m256            | VEX.NDS.256.66.0F.WIG 5E /r       | V            | V            | AVX                    |                                   | w,r,r            |                          |           |
| VDIVPS xmm1, xmmV, xmm2/m128            | VEX.NDS.128.0F.WIG 5E /r          | V            | V            | AVX                    |                                   | w,r,r            |                          |           |
| VDIVPS ymm1, ymmV, ymm2/m256            | VEX.NDS.256.0F.WIG 5E /r          | V            | V            | AVX                    |                                   | w,r,r            |                          |           |
| VDIVSD xmm1, xmmV, xmm2/m64             | VEX.NDS.LIG.F2.0F.WIG 5E /r       | V            | V            | AVX                    |                                   | w,r,r            |                          |           |
| VDIVSS xmm1, xmmV, xmm2/m32             | VEX.NDS.LIG.F3.0F.WIG 5E /r       | V            | V            | AVX                    |                                   | w,r,r            |                          |           |
| VDPPD xmm1, xmmV, xmm2/m128, imm8       | VEX.NDS.128.66.0F3A.WIG 41 /r ib  | V            | V            | AVX                    |                                   | w,r,r,r          |                          |           |
| VDPPS xmm1, xmmV, xmm2/m128, imm8       | VEX.NDS.128.66.0F3A.WIG 40 /r ib  | V            | V            | AVX                    |                                   | w,r,r,r          |                          |           |
| VDPPS ymm1, ymmV, ymm2/m256, imm8       | VEX.NDS.256.66.0F3A.WIG 40 /r ib  | V            | V            | AVX                    |                                   | w,r,r,r          |                          |           |
| VERR r/m16                              | 0F 00 /4                          | V            | V            |                        |                                   | r                |                          |           |
| VERW r/m16                              | 0F 00 /5                          | V            | V            |                        |                                   | r                |                          |           |
| VEXTRACTF128 xmm2/m128, ymm1, imm8      | VEX.256.66.0F3A.W0 19 /r ib       | V            | V            | AVX                    |                                   | w,r,r            |                          |           |
| VEXTRACTI128 xmm2/m128, ymm1, imm8      | VEX.256.66.0F3A.W0 39 /r ib       | V            | V            | AVX2                   |                                   | w,r,r            |                          |           |
| VEXTRACTPS r/m32, xmm1, imm8            | VEX.128.66.0F3A.WIG 17 /r ib      | V            | V            | AVX                    |                                   | w,r,r            |                          |           |
| VFMADD132PD xmm1, xmmV, xmm2/m128       | VEX.DDS.128.66.0F38.W1 98 /r      | V            | V            | FMA                    |                                   | rw,r,r           |                          |           |
| VFMADD132PD ymm1, ymmV, ymm2/m256       | VEX.DDS.256.66.0F38.W1 98 /r      | V            | V            | FMA                    |                                   | rw,r,r           |                          |           |
| VFMADD132PS xmm1, xmmV, xmm2/m128       | VEX.DDS.128.66.0F38.W0 98 /r      | V            | V            | FMA                    |                                   | rw,r,r           |                          |           |
| VFMADD132PS ymm1, ymmV, ymm2/m256       | VEX.DDS.256.66.0F38.W0 98 /r      | V            | V            | FMA                    |                                   | rw,r,r           |                          |           |
| VFMADD132SD xmm1, xmmV, xmm2/m64        | VEX.DDS.LIG.66.0F38.W1 99 /r      | V            | V            | FMA                    |                                   | rw,r,r           |                          |           |
| VFMADD132SS xmm1, xmmV, xmm2/m32        | VEX.DDS.LIG.66.0F38.W0 99 /r      | V            | V            | FMA                    |                                   | rw,r,r           |                          |           |
| VFMADD213PD xmm1, xmmV, xmm2/m128       | VEX.DDS.128.66.0F38.W1 A8 /r      | V            | V            | FMA                    |                                   | rw,r,r           |                          |           |
| VFMADD213PD ymm1, ymmV, ymm2/m256       | VEX.DDS.256.66.0F38.W1 A8 /r      | V            | V            | FMA                    |                                   | rw,r,r           |                          |           |
| VFMADD213PS xmm1, xmmV, xmm2/m128       | VEX.DDS.128.66.0F38.W0 A8 /r      | V            | V            | FMA                    |                                   | rw,r,r           |                          |           |
| VFMADD213PS ymm1, ymmV, ymm2/m256       | VEX.DDS.256.66.0F38.W0 A8 /r      | V            | V            | FMA                    |                                   | rw,r,r           |                          |           |
| VFMADD213SD xmm1, xmmV, xmm2/m64        | VEX.DDS.LIG.66.0F38.W1 A9 /r      | V            | V            | FMA                    |                                   | rw,r,r           |                          |           |
| VFMADD213SS xmm1, xmmV, xmm2/m32        | VEX.DDS.LIG.66.0F38.W0 A9 /r      | V            | V            | FMA                    |                                   | rw,r,r           |                          |           |
| VFMADD231PD xmm1, xmmV, xmm2/m128       | VEX.DDS.128.66.0F38.W1 B8 /r      | V            | V            | FMA                    |                                   | rw,r,r           |                          |           |
| VFMADD231PD ymm1, ymmV, ymm2/m256       | VEX.DDS.256.66.0F38.W1 B8 /r      | V            | V            | FMA                    |                                   | rw,r,r           |                          |           |
| VFMADD231PS xmm1, xmmV, xmm2/m128       | VEX.DDS.128.66.0F38.W0 B8 /r      | V            | V            | FMA                    |                                   | rw,r,r           |                          |           |
| VFMADD231PS ymm1, ymmV, ymm2/m256       | VEX.DDS.256.66.0F38.W0 B8 /r      | V            | V            | FMA                    |                                   | rw,r,r           |                          |           |
| VFMADD231SD xmm1, xmmV, xmm2/m64        | VEX.DDS.LIG.66.0F38.W1 B9 /r      | V            | V            | FMA                    |                                   | rw,r,r           |                          |           |
| VFMADD231SS xmm1, xmmV, xmm2/m32        | VEX.DDS.LIG.66.0F38.W0 B9 /r      | V            | V            | FMA                    |                                   | rw,r,r           |                          |           |
| VFMADDSUB132PD xmm1, xmmV, xmm2/m128    | VEX.DDS.128.66.0F38.W1 96 /r      | V            | V            | FMA                    |                                   | rw,r,r           |                          |           |
| VFMADDSUB132PD ymm1, ymmV, ymm2/m256    | VEX.DDS.256.66.0F38.W1 96 /r      | V            | V            | FMA                    |                                   | rw,r,r           |                          |           |
| VFMADDSUB132PS xmm1, xmmV, xmm2/m128    | VEX.DDS.128.66.0F38.W0 96 /r      | V            | V            | FMA                    |                                   | rw,r,r           |                          |           |
| VFMADDSUB132PS ymm1, ymmV, ymm2/m256    | VEX.DDS.256.66.0F38.W0 96 /r      | V            | V            | FMA                    |                                   | rw,r,r           |                          |           |
| VFMADDSUB213PD xmm1, xmmV, xmm2/m128    | VEX.DDS.128.66.0F38.W1 A6 /r      | V            | V            | FMA                    |                                   | rw,r,r           |                          |           |
| VFMADDSUB213PD ymm1, ymmV, ymm2/m256    | VEX.DDS.256.66.0F38.W1 A6 /r      | V            | V            | FMA                    |                                   | rw,r,r           |                          |           |
| VFMADDSUB213PS xmm1, xmmV, xmm2/m128    | VEX.DDS.128.66.0F38.W0 A6 /r      | V            | V            | FMA                    |                                   | rw,r,r           |                          |           |
| VFMADDSUB213PS ymm1, ymmV, ymm2/m256    | VEX.DDS.256.66.0F38.W0 A6 /r      | V            | V            | FMA                    |                                   | rw,r,r           |                          |           |
| VFMADDSUB231PD xmm1, xmmV, xmm2/m128    | VEX.DDS.128.66.0F38.W1 B6 /r      | V            | V            | FMA                    |                                   | rw,r,r           |                          |           |
| VFMADDSUB231PD ymm1, ymmV, ymm2/m256    | VEX.DDS.256.66.0F38.W1 B6 /r      | V            | V            | FMA                    |                                   | rw,r,r           |                          |           |
| VFMADDSUB231PS xmm1, xmmV, xmm2/m128    | VEX.DDS.128.66.0F38.W0 B6 /r      | V            | V            | FMA                    |                                   | rw,r,r           |                          |           |
| VFMADDSUB231PS ymm1, ymmV, ymm2/m256    | VEX.DDS.256.66.0F38.W0 B6 /r      | V            | V            | FMA                    |                                   | rw,r,r           |                          |           |
| VFMSUB132PD xmm1, xmmV, xmm2/m128       | VEX.DDS.128.66.0F38.W1 9A /r      | V            | V            | FMA                    |                                   | rw,r,r           |                          |           |
| VFMSUB132PD ymm1, ymmV, ymm2/m256       | VEX.DDS.256.66.0F38.W1 9A /r      | V            | V            | FMA                    |                                   | rw,r,r           |                          |           |
| VFMSUB132PS xmm1, xmmV, xmm2/m128       | VEX.DDS.128.66.0F38.W0 9A /r      | V            | V            | FMA                    |                                   | rw,r,r           |                          |           |
| VFMSUB132PS ymm1, ymmV, ymm2/m256       | VEX.DDS.256.66.0F38.W0 9A /r      | V            | V            | FMA                    |                                   | rw,r,r           |                          |           |
| VFMSUB132SD xmm1, xmmV, xmm2/m64        | VEX.DDS.LIG.66.0F38.W1 9B /r      | V            | V            | FMA                    |                                   | rw,r,r           |                          |           |
| VFMSUB132SS xmm1, xmmV, xmm2/m32        | VEX.DDS.LIG.66.0F38.W0 9B /r      | V            | V            | FMA                    |                                   | rw,r,r           |                          |           |
| VFMSUB213PD xmm1, xmmV, xmm2/m128       | VEX.DDS.128.66.0F38.W1 AA /r      | V            | V            | FMA                    |                                   | rw,r,r           |                          |           |
| VFMSUB213PD ymm1, ymmV, ymm2/m256       | VEX.DDS.256.66.0F38.W1 AA /r      | V            | V            | FMA                    |                                   | rw,r,r           |                          |           |
| VFMSUB213PS xmm1, xmmV, xmm2/m128       | VEX.DDS.128.66.0F38.W0 AA /r      | V            | V            | FMA                    |                                   | rw,r,r           |                          |           |
| VFMSUB213PS ymm1, ymmV, ymm2/m256       | VEX.DDS.256.66.0F38.W0 AA /r      | V            | V            | FMA                    |                                   | rw,r,r           |                          |           |
| VFMSUB213SD xmm1, xmmV, xmm2/m64        | VEX.DDS.LIG.66.0F38.W1 AB /r      | V            | V            | FMA                    |                                   | rw,r,r           |                          |           |
| VFMSUB213SS xmm1, xmmV, xmm2/m32        | VEX.DDS.LIG.66.0F38.W0 AB /r      | V            | V            | FMA                    |                                   | rw,r,r           |                          |           |
| VFMSUB231PD xmm1, xmmV, xmm2/m128       | VEX.DDS.128.66.0F38.W1 BA /r      | V            | V            | FMA                    |                                   | rw,r,r           |                          |           |
| VFMSUB231PD ymm1, ymmV, ymm2/m256       | VEX.DDS.256.66.0F38.W1 BA /r      | V            | V            | FMA                    |                                   | rw,r,r           |                          |           |
| VFMSUB231PS xmm1, xmmV, xmm2/m128       | VEX.DDS.128.66.0F38.W0 BA /r      | V            | V            | FMA                    |                                   | rw,r,r           |                          |           |
| VFMSUB231PS ymm1, ymmV, ymm2/m256       | VEX.DDS.256.66.0F38.W0 BA /r      | V            | V            | FMA                    |                                   | rw,r,r           |                          |           |
| VFMSUB231SD xmm1, xmmV, xmm2/m64        | VEX.DDS.LIG.66.0F38.W1 BB /r      | V            | V            | FMA                    |                                   | rw,r,r           |                          |           |
| VFMSUB231SS xmm1, xmmV, xmm2/m32        | VEX.DDS.LIG.66.0F38.W0 BB /r      | V            | V            | FMA                    |                                   | rw,r,r           |                          |           |
| VFMSUBADD132PD xmm1, xmmV, xmm2/m128    | VEX.DDS.128.66.0F38.W1 97 /r      | V            | V            | FMA                    |                                   | rw,r,r           |                          |           |
| VFMSUBADD132PD ymm1, ymmV, ymm2/m256    | VEX.DDS.256.66.0F38.W1 97 /r      | V            | V            | FMA                    |                                   | rw,r,r           |                          |           |
| VFMSUBADD132PS xmm1, xmmV, xmm2/m128    | VEX.DDS.128.66.0F38.W0 97 /r      | V            | V            | FMA                    |                                   | rw,r,r           |                          |           |
| VFMSUBADD132PS ymm1, ymmV, ymm2/m256    | VEX.DDS.256.66.0F38.W0 97 /r      | V            | V            | FMA                    |                                   | rw,r,r           |                          |           |
| VFMSUBADD213PD xmm1, xmmV, xmm2/m128    | VEX.DDS.128.66.0F38.W1 A7 /r      | V            | V            | FMA                    |                                   | rw,r,r           |                          |           |
| VFMSUBADD213PD ymm1, ymmV, ymm2/m256    | VEX.DDS.256.66.0F38.W1 A7 /r      | V            | V            | FMA                    |                                   | rw,r,r           |                          |           |
| VFMSUBADD213PS xmm1, xmmV, xmm2/m128    | VEX.DDS.128.66.0F38.W0 A7 /r      | V            | V            | FMA                    |                                   | rw,r,r           |                          |           |
| VFMSUBADD213PS ymm1, ymmV, ymm2/m256    | VEX.DDS.256.66.0F38.W0 A7 /r      | V            | V            | FMA                    |                                   | rw,r,r           |                          |           |
| VFMSUBADD231PD xmm1, xmmV, xmm2/m128    | VEX.DDS.128.66.0F38.W1 B7 /r      | V            | V            | FMA                    |                                   | rw,r,r           |                          |           |
| VFMSUBADD231PD ymm1, ymmV, ymm2/m256    | VEX.DDS.256.66.0F38.W1 B7 /r      | V            | V            | FMA                    |                                   | rw,r,r           |                          |           |
| VFMSUBADD231PS xmm1, xmmV, xmm2/m128    | VEX.DDS.128.66.0F38.W0 B7 /r      | V            | V            | FMA                    |                                   | rw,r,r           |                          |           |
| VFMSUBADD231PS ymm1, ymmV, ymm2/m256    | VEX.DDS.256.66.0F38.W0 B7 /r      | V            | V            | FMA                    |                                   | rw,r,r           |                          |           |
| VFNMADD132PD xmm1, xmmV, xmm2/m128      | VEX.DDS.128.66.0F38.W1 9C /r      | V            | V            | FMA                    |                                   | rw,r,r           |                          |           |
| VFNMADD132PD ymm1, ymmV, ymm2/m256      | VEX.DDS.256.66.0F38.W1 9C /r      | V            | V            | FMA                    |                                   | rw,r,r           |                          |           |
| VFNMADD132PS xmm1, xmmV, xmm2/m128      | VEX.DDS.128.66.0F38.W0 9C /r      | V            | V            | FMA                    |                                   | rw,r,r           |                          |           |
| VFNMADD132PS ymm1, ymmV, ymm2/m256      | VEX.DDS.256.66.0F38.W0 9C /r      | V            | V            | FMA                    |                                   | rw,r,r           |                          |           |
| VFNMADD132SD xmm1, xmmV, xmm2/m64       | VEX.DDS.LIG.66.0F38.W1 9D /r      | V            | V            | FMA                    |                                   | rw,r,r           |                          |           |
| VFNMADD132SS xmm1, xmmV, xmm2/m32       | VEX.DDS.LIG.66.0F38.W0 9D /r      | V            | V            | FMA                    |                                   | rw,r,r           |                          |           |
| VFNMADD213PD xmm1, xmmV, xmm2/m128      | VEX.DDS.128.66.0F38.W1 AC /r      | V            | V            | FMA                    |                                   | rw,r,r           |                          |           |
| VFNMADD213PD ymm1, ymmV, ymm2/m256      | VEX.DDS.256.66.0F38.W1 AC /r      | V            | V            | FMA                    |                                   | rw,r,r           |                          |           |
| VFNMADD213PS xmm1, xmmV, xmm2/m128      | VEX.DDS.128.66.0F38.W0 AC /r      | V            | V            | FMA                    |                                   | rw,r,r           |                          |           |
| VFNMADD213PS ymm1, ymmV, ymm2/m256      | VEX.DDS.256.66.0F38.W0 AC /r      | V            | V            | FMA                    |                                   | rw,r,r           |                          |           |
| VFNMADD213SD xmm1, xmmV, xmm2/m64       | VEX.DDS.LIG.66.0F38.W1 AD /r      | V            | V            | FMA                    |                                   | rw,r,r           |                          |           |
| VFNMADD213SS xmm1, xmmV, xmm2/m32       | VEX.DDS.LIG.66.0F38.W0 AD /r      | V            | V            | FMA                    |                                   | rw,r,r           |                          |           |
| VFNMADD231PD xmm1, xmmV, xmm2/m128      | VEX.DDS.128.66.0F38.W1 BC /r      | V            | V            | FMA                    |                                   | rw,r,r           |                          |           |
| VFNMADD231PD ymm1, ymmV, ymm2/m256      | VEX.DDS.256.66.0F38.W1 BC /r      | V            | V            | FMA                    |                                   | rw,r,r           |                          |           |
| VFNMADD231PS xmm1, xmmV, xmm2/m128      | VEX.DDS.128.66.0F38.W0 BC /r      | V            | V            | FMA                    |                                   | rw,r,r           |                          |           |
| VFNMADD231PS ymm1, ymmV, ymm2/m256      | VEX.DDS.256.66.0F38.W0 BC /r      | V            | V            | FMA                    |                                   | rw,r,r           |                          |           |
| VFNMADD231SD xmm1, xmmV, xmm2/m64       | VEX.DDS.LIG.66.0F38.W1 BD /r      | V            | V            | FMA                    |                                   | rw,r,r           |                          |           |
| VFNMADD231SS xmm1, xmmV, xmm2/m32       | VEX.DDS.LIG.66.0F38.W0 BD /r      | V            | V            | FMA                    |                                   | rw,r,r           |                          |           |
| VFNMSUB132PD xmm1, xmmV, xmm2/m128      | VEX.DDS.128.66.0F38.W1 9E /r      | V            | V            | FMA                    |                                   | rw,r,r           |                          |           |
| VFNMSUB132PD ymm1, ymmV, ymm2/m256      | VEX.DDS.256.66.0F38.W1 9E /r      | V            | V            | FMA                    |                                   | rw,r,r           |                          |           |
| VFNMSUB132PS xmm1, xmmV, xmm2/m128      | VEX.DDS.128.66.0F38.W0 9E /r      | V            | V            | FMA                    |                                   | rw,r,r           |                          |           |
| VFNMSUB132PS ymm1, ymmV, ymm2/m256      | VEX.DDS.256.66.0F38.W0 9E /r      | V            | V            | FMA                    |                                   | rw,r,r           |                          |           |
| VFNMSUB132SD xmm1, xmmV, xmm2/m64       | VEX.DDS.LIG.66.0F38.W1 9F /r      | V            | V            | FMA                    |                                   | rw,r,r           |                          |           |
| VFNMSUB132SS xmm1, xmmV, xmm2/m32       | VEX.DDS.LIG.66.0F38.W0 9F /r      | V            | V            | FMA                    |                                   | rw,r,r           |                          |           |
| VFNMSUB213PD xmm1, xmmV, xmm2/m128      | VEX.DDS.128.66.0F38.W1 AE /r      | V            | V            | FMA                    |                                   | rw,r,r           |                          |           |
| VFNMSUB213PD ymm1, ymmV, ymm2/m256      | VEX.DDS.256.66.0F38.W1 AE /r      | V            | V            | FMA                    |                                   | rw,r,r           |                          |           |
| VFNMSUB213PS xmm1, xmmV, xmm2/m128      | VEX.DDS.128.66.0F38.W0 AE /r      | V            | V            | FMA                    |                                   | rw,r,r           |                          |           |
| VFNMSUB213PS ymm1, ymmV, ymm2/m256      | VEX.DDS.256.66.0F38.W0 AE /r      | V            | V            | FMA                    |                                   | rw,r,r           |                          |           |
| VFNMSUB213SD xmm1, xmmV, xmm2/m64       | VEX.DDS.LIG.66.0F38.W1 AF /r      | V            | V            | FMA                    |                                   | rw,r,r           |                          |           |
| VFNMSUB213SS xmm1, xmmV, xmm2/m32       | VEX.DDS.LIG.66.0F38.W0 AF /r      | V            | V            | FMA                    |                                   | rw,r,r           |                          |           |
| VFNMSUB231PD xmm1, xmmV, xmm2/m128      | VEX.DDS.128.66.0F38.W1 BE /r      | V            | V            | FMA                    |                                   | rw,r,r           |                          |           |
| VFNMSUB231PD ymm1, ymmV, ymm2/m256      | VEX.DDS.256.66.0F38.W1 BE /r      | V            | V            | FMA                    |                                   | rw,r,r           |                          |           |
| VFNMSUB231PS xmm1, xmmV, xmm2/m128      | VEX.DDS.128.66.0F38.W0 BE /r      | V            | V            | FMA                    |                                   | rw,r,r           |                          |           |
| VFNMSUB231PS ymm1, ymmV, ymm2/m256      | VEX.DDS.256.66.0F38.W0 BE /r      | V            | V            | FMA                    |                                   | rw,r,r           |                          |           |
| VFNMSUB231SD xmm1, xmmV, xmm2/m64       | VEX.DDS.LIG.66.0F38.W1 BF /r      | V            | V            | FMA                    |                                   | rw,r,r           |                          |           |
| VFNMSUB231SS xmm1, xmmV, xmm2/m32       | VEX.DDS.LIG.66.0F38.W0 BF /r      | V            | V            | FMA                    |                                   | rw,r,r           |                          |           |
| VHADDPD xmm1, xmmV, xmm2/m128           | VEX.NDS.128.66.0F.WIG 7C /r       | V            | V            | AVX                    |                                   | w,r,r            |                          |           |
| VHADDPD ymm1, ymmV, ymm2/m256           | VEX.NDS.256.66.0F.WIG 7C /r       | V            | V            | AVX                    |                                   | w,r,r            |                          |           |
| VHADDPS xmm1, xmmV, xmm2/m128           | VEX.NDS.128.F2.0F.WIG 7C /r       | V            | V            | AVX                    |                                   | w,r,r            |                          |           |
| VHADDPS ymm1, ymmV, ymm2/m256           | VEX.NDS.256.F2.0F.WIG 7C /r       | V            | V            | AVX                    |                                   | w,r,r            |                          |           |
| VHSUBPD xmm1, xmmV, xmm2/m128           | VEX.NDS.128.66.0F.WIG 7D /r       | V            | V            | AVX                    |                                   | w,r,r            |                          |           |
| VHSUBPD ymm1, ymmV, ymm2/m256           | VEX.NDS.256.66.0F.WIG 7D /r       | V            | V            | AVX                    |                                   | w,r,r            |                          |           |
| VHSUBPS xmm1, xmmV, xmm2/m128           | VEX.NDS.128.F2.0F.WIG 7D /r       | V            | V            | AVX                    |                                   | w,r,r            |                          |           |
| VHSUBPS ymm1, ymmV, ymm2/m256           | VEX.NDS.256.F2.0F.WIG 7D /r       | V            | V            | AVX                    |                                   | w,r,r            |                          |           |
| VINSERTF128 ymm1, ymmV, xmm2/m128, imm8 | VEX.NDS.256.66.0F3A.W0 18 /r ib   | V            | V            | AVX                    |                                   | w,r,r,r          |                          |           |
| VINSERTI128 ymm1, ymmV, xmm2/m128, imm8 | VEX.NDS.256.66.0F3A.W0 38 /r ib   | V            | V            | AVX2                   |                                   | w,r,r,r          |                          |           |
| VINSERTPS xmm1, xmmV, xmm2/m32, imm8    | VEX.NDS.128.66.0F3A.WIG 21 /r ib  | V            | V            | AVX                    |                                   | w,r,r,r          |                          |           |
| VLDDQU xmm1, m128                       | VEX.128.F2.0F.WIG F0 /r           | V            | V            | AVX                    | modrm_memonly                     | w,r              |                          |           |
| VLDDQU ymm1, m256                       | VEX.256.F2.0F.WIG F0 /r           | V            | V            | AVX                    | modrm_memonly                     | w,r              |                          |           |
| VLDMXCSR m32                            | VEX.LZ.0F.WIG AE /2               | V            | V            | AVX                    | modrm_memonly                     | r                |                          |           |
| VMASKMOVDQU xmm1, xmm2                  | VEX.128.66.0F.WIG F7 /r           | V            | V            | AVX                    | modrm_regonly                     | r,r              |                          |           |
| VMASKMOVPD m128, xmmV, xmm1             | VEX.NDS.128.66.0F38.W0 2F /r      | V            | V            | AVX                    | modrm_memonly                     | w,r,r            |                          |           |
| VMASKMOVPD m256, ymmV, ymm1             | VEX.NDS.256.66.0F38.W0 2F /r      | V            | V            | AVX                    | modrm_memonly                     | w,r,r            |                          |           |
| VMASKMOVPD xmm1, xmmV, m128             | VEX.NDS.128.66.0F38.W0 2D /r      | V            | V            | AVX                    | modrm_memonly                     | w,r,r            |                          |           |
| VMASKMOVPD ymm1, ymmV, m256             | VEX.NDS.256.66.0F38.W0 2D /r      | V            | V            | AVX                    | modrm_memonly                     | w,r,r            |                          |           |
| VMASKMOVPS m128, xmmV, xmm1             | VEX.NDS.128.66.0F38.W0 2E /r      | V            | V            | AVX                    | modrm_memonly                     | w,r,r            |                          |           |
| VMASKMOVPS m256, ymmV, ymm1             | VEX.NDS.256.66.0F38.W0 2E /r      | V            | V            | AVX                    | modrm_memonly                     | w,r,r            |                          |           |
| VMASKMOVPS xmm1, xmmV, m128             | VEX.NDS.128.66.0F38.W0 2C /r      | V            | V            | AVX                    | modrm_memonly                     | w,r,r            |                          |           |
| VMASKMOVPS ymm1, ymmV, m256             | VEX.NDS.256.66.0F38.W0 2C /r      | V            | V            | AVX                    | modrm_memonly                     | w,r,r            |                          |           |
| VMAXPD xmm1, xmmV, xmm2/m128            | VEX.NDS.128.66.0F.WIG 5F /r       | V            | V            | AVX                    |                                   | w,r,r            |                          |           |
| VMAXPD ymm1, ymmV, ymm2/m256            | VEX.NDS.256.66.0F.WIG 5F /r       | V            | V            | AVX                    |                                   | w,r,r            |                          |           |
| VMAXPS xmm1, xmmV, xmm2/m128            | VEX.NDS.128.0F.WIG 5F /r          | V            | V            | AVX                    |                                   | w,r,r            |                          |           |
| VMAXPS ymm1, ymmV, ymm2/m256            | VEX.NDS.256.0F.WIG 5F /r          | V            | V            | AVX                    |                                   | w,r,r            |                          |           |
| VMAXSD xmm1, xmmV, xmm2/m64             | VEX.NDS.LIG.F2.0F.WIG 5F /r       | V            | V            | AVX                    |                                   | w,r,r            |                          |           |
| VMAXSS xmm1, xmmV, xmm2/m32             | VEX.NDS.LIG.F3.0F.WIG 5F /r       | V            | V            | AVX                    |                                   | w,r,r            |                          |           |
| VMINPD xmm1, xmmV, xmm2/m128            | VEX.NDS.128.66.0F.WIG 5D /r       | V            | V            | AVX                    |                                   | w,r,r            |                          |           |
